title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 مواقف لاتنسى من سيرة والدتي رحمها الله	 د. سعيد بن علي بن وهف القحطاني			 الرياض	 1428هـ	 الأولى 	 1 	 36 	https://www.lisanarb.com/2023/12/pdf_717.html	https://archive.org/download/lis_m54/lisanarb.com_m5408.pdf https://archive.org/download/Ktbbinwahaf/%D9%85%D9%88%D8%A7%D9%82%D9%81_%D9%84%D8%A7%D8%AA%D9%86%D8%B3%D9%89_%D9%85%D9%86_%D8%B3%D9%8A%D8%B1%D8%A9_%D9%88%D8%A7%D9%84%D8%AF%D8%AA%D9%8A_%D8%B1%D8%AD%D9%85%D9%87%D8%A7_%D8%A7%D9%84%D9%84%D9%87.pdf https://archive.org/stream/lis_m54/lisanarb.com_m5408#mode/2up 
 الغفلة مفهومها وخطرها وعلاماتها وأسبابها وعلاجها	 د. سعيد بن علي بن وهف القحطاني			 الرياض	 1927هـ	 الأولى 	 1 	 78 	https://www.lisanarb.com/2023/12/pdf_430.html	https://archive.org/download/lis_m53/lisanarb.com_m5304.pdf https://archive.org/download/Ktbbinwahaf/%D8%A7%D9%84%D8%BA%D9%81%D9%84%D8%A9_%D9%85%D9%81%D9%87%D9%88%D9%85%D9%87%D8%A7_%D9%88%D8%AE%D8%B7%D8%B1%D9%87%D8%A7_%D9%88%D8%B9%D9%84%D8%A7%D9%85%D8%A7%D8%AA%D9%87%D8%A7_%D9%88%D8%A3%D8%B3%D8%A8%D8%A7%D8%A8%D9%87%D8%A7_%D9%88%D8%B9%D9%84%D8%A7%D8%AC%D9%87%D8%A7.pdf https://archive.org/stream/lis_m53/lisanarb.com_m5304#mode/2up 
 الهدي النبوي في تربية الأولاد في ضوء الكتاب والسنة	 د. سعيد بن علي بن وهف القحطاني			 الرياض	  1432هـ ، 2011م	 الأولى 	 1 	 342 	https://www.lisanarb.com/2023/12/pdf_396.html	https://archive.org/download/lis_m53/lisanarb.com_m5306.pdf https://archive.org/download/FP153222/153222.pdf https://archive.org/stream/lis_m53/lisanarb.com_m5306#mode/2up 
 وقفية مكتبة شيخ الإسلام عارف حكمت (مفهرس)	 د. راشد بن سعد بن راشد القحطاني			 السعودية	 1420هـ	 الأولى 	 1 	 47 	https://www.lisanarb.com/2023/12/pdf_780.html	https://archive.org/download/lis_m54/lisanarb.com_m5410.pdf https://archive.org/download/FP01_80525-09/01_80525-09.pdf https://archive.org/stream/lis_m54/lisanarb.com_m5410#mode/2up 
 خدمات المخطوطات العربية فى مكتبات مدينة الرياض	 د. راشد بن سعد بن راشد القحطاني			 الرياض	  1417هـ ، 1996م	 الأولى 	 1 	 295 	https://www.lisanarb.com/2023/12/pdf_936.html	https://archive.org/download/lis_m53/lisanarb.com_m5309.pdf https://archive.org/download/FPkmammr/kmammr.pdf https://archive.org/stream/lis_m53/lisanarb.com_m5309#mode/2up 
 مجموعة الشافية, في علمي التصريف والخط (ط العلمية)	 ابن الحاجب، جمال الدين بن عثمان بن عمر (ت 646هـ)	 محمد عبد السلام شاهين	 دار الكتب العلمية	 بيروت	 2014م ، 1435هـ 	 الأولى 	 1 	 1442 	https://www.lisanarb.com/2023/12/pdf_224.html	https://archive.org/download/lis_q131/lisanarb.com_q3106.pdf https://archive.org/download/lis_q131/lisanarb.com_q3107.pdf https://archive.org/download/lis_mq12/lis_mq1205_1.pdf https://archive.org/download/lis_mq12/lis_mq1205_2.pdf https://archive.org/stream/lis_q131/lisanarb.com_q3106#mode/2up https://archive.org/stream/lis_q131/lisanarb.com_q3107#mode/2up 
 مجموعة الشافية في علمي التصريف والخط (عالم الكتب)	 ابن الحاجب، جمال الدين بن عثمان بن عمر (ت 646هـ)			 بيروت	 1310هـ	 الأولى 	 2 	 760 	https://www.lisanarb.com/2023/12/pdf_838.html	https://archive.org/download/lis_q131/lisanarb.com_q3103.pdf https://archive.org/download/lis_q131/lisanarb.com_q3104.pdf https://archive.org/download/lis_a3m76/lis_a3m7610_1.pdf https://archive.org/download/lis_a3m76/lis_a3m7610_2.pdf https://archive.org/download/lis01732/001.pdf https://archive.org/download/lis01732/002.pdf https://archive.org/stream/lis_q131/lisanarb.com_q3103#mode/2up https://archive.org/stream/lis_q131/lisanarb.com_q3104#mode/2up 
 متن الشافية	 ابن الحاجب، جمال الدين بن عثمان بن عمر (ت 646هـ)					 الأولى 	 1 	 43 	https://www.lisanarb.com/2023/12/pdf_771.html	https://archive.org/download/lis_q131/lisanarb.com_q3102.pdf https://archive.org/download/lis_mq12/lis_mq1204.pdf https://archive.org/stream/lis_q131/lisanarb.com_q3102#mode/2up 
 مصادر الفعل الرباعي عند سيبويه وابن الحاجب (بحث)	 د. ملاذ زليخة		 مجلة مجمع اللغة العربية بدمشق، المجلد 83 ، الجزء 2 	 سوريا		 الأولى 	 1 	 18 	https://www.lisanarb.com/2023/12/pdf_870.html	https://archive.org/download/lis_q131/lisanarb.com_q3108.pdf https://archive.org/download/lis_ak99/lis_ak9905.pdf https://archive.org/stream/lis_q131/lisanarb.com_q3108#mode/2up 
 شرح ديوان سلطان العاشقين عمر بن الفارض (ملون)				 مصر 	 1279هـ , 1862م 	 الأولى 	 1 	 593 	https://www.lisanarb.com/2023/12/pdf_432.html	https://archive.org/download/lis_qd62/lis_qd6217.pdf https://archive.org/stream/lis_qd62/lis_qd6217#mode/2up 
