isbn	url	title	date	tag
	https://www.libraryofarabicliterature.org/ar/books/الرسالة-الشمسيّة-في-القواعد-المنطقيّ	الرسالة الشمسيّة في القواعد المنطقيّة		كتاب كلاسيكي في دراسة المنطق
	https://www.libraryofarabicliterature.org/ar/books/شعراء-النفود	شعراء النفود		مجموعة قصائد من عالَم البدو المتغير
	https://www.libraryofarabicliterature.org/ar/books/كتاب-شرح-الأسماء-الحسنى	معاني الأسماء الإلٰهيّة		من عصر ما قبل الإسلام حتى العصر الأموي
	https://www.libraryofarabicliterature.org/ar/books/الطرديّات	الطرديّات		الشعر والمعرفة من التقاليد الشفويّة الإماراتيّة 
	https://www.libraryofarabicliterature.org/ar/books/طرديّات	طرديّات		دفاع عن التصوّف الفلسفيّ
	https://www.libraryofarabicliterature.org/ar/books/كتاب-الديارات	كتاب الديارات		حكاية الفضيلة والرذيلة
	https://www.libraryofarabicliterature.org/ar/books/دعوة-الأطبّاء	دعوة الأطبّاء		المجلّد الثاني
	https://www.libraryofarabicliterature.org/ar/books/شفاء-السائل-لتهذيب-المسائل	شفاء السائل لتهذيب المسائل		المجلّد الأوّل 
	https://www.libraryofarabicliterature.org/ar/books/ديوان-واخبار	ديوان واخبار		المجلّد الأوّل 
	https://www.libraryofarabicliterature.org/ar/books/زبدة-الحقائق	زبدة الحقائق		المجلّد الأوّل 
	https://www.libraryofarabicliterature.org/ar/books/كليلة-ودمنة	كليلة ودمنة		المجلّد الثاني
	https://www.libraryofarabicliterature.org/ar/books/كتاب-السياحة-2	كتاب السياحة		أناشيد الحرب
	https://www.libraryofarabicliterature.org/ar/books/كتاب-الإفادة-والاعتبار	كتاب الإفادة والاعتبار		المجلّد الأوّل 
	https://www.libraryofarabicliterature.org/ar/books/كتاب-السياحة	كتاب السياحة		المجلّد الثاني
	https://www.libraryofarabicliterature.org/ar/books/كتاب-المختار-في-كشف-الأسرار	كتاب المختار في كشف الأسرار		المجلّد الثاني
	https://www.libraryofarabicliterature.org/ar/books/باتَنْجَلِ-الهنديّ	كتاب باتَنْجَلِ الهنديّ		المجلّد الأوّل
	https://www.libraryofarabicliterature.org/ar/books/مقامات-أبي-زيد-السروجي	مقامات أبي زيد السروجي		في الأمثال والمواعظ والآداب
	https://www.libraryofarabicliterature.org/ar/books/المحاضرات	المحاضرات		أخبار الصين والهند وكتاب ابن فضلان
	https://www.libraryofarabicliterature.org/ar/books/الهوامل-والشوامل-2	الهوامل والشوامل		المجلّد الأوّل
	https://www.libraryofarabicliterature.org/ar/books/الهوامل-والشوامل	الهوامل والشوامل		المجلّد الثاني
	https://www.libraryofarabicliterature.org/ar/books/الفرج-بعد-الشدة	الفرج بعد الشدة		المجلّد الأوّل
	https://www.libraryofarabicliterature.org/ar/books/أناشيد-الحرب	شعر عنترة بن شدّاد		المجلّد الرابع
	https://www.libraryofarabicliterature.org/ar/books/ديوان-ابن-سبيّل	ديوان ابن سبيّل		المجلّد الثالث
	https://www.libraryofarabicliterature.org/ar/books/diwan-antarah-ibn-shaddad	ديوان عنترة بن شدّاد		المجلّد الثاني
	https://www.libraryofarabicliterature.org/ar/books/في-دارفور	تشحيذ الأذهان بسيرة بلاد العرب والسودان		المجلّد الثاني
	https://www.libraryofarabicliterature.org/ar/books/في-دارفور-2	تشحيذ الأذهان بسيرة بلاد العرب والسودان		المجلّد الأوّل
	https://www.libraryofarabicliterature.org/ar/books/الشعر-التهكمي-من-نجد	ديوان حميدان الشويعر		المجلّد الثاني
	https://www.libraryofarabicliterature.org/ar/books/حديث-عيسى-بن-هشام-2	حديث عيسى بن هشام		المجلّد الأوّل 
	https://www.libraryofarabicliterature.org/ar/books/كتاب-المٌنْتَخَب-في-أُصُول-الرُتَب-في	كتاب المنتخب في أصول الرتب في علم التصوّف		وكتاب مائة كلمة المنسوب الى الجاحظ
	https://www.libraryofarabicliterature.org/ar/books/هزّ-القحوف-بشرح-قصيد-ابي-شادوف	هزّ القحوف بشرح قصيد ابي شادوف		
	https://www.libraryofarabicliterature.org/ar/books/نساء-الخلفاء	نساء الخلفاء		
	https://www.libraryofarabicliterature.org/ar/books/المغازي	كتاب المغازي		
	https://www.libraryofarabicliterature.org/ar/books/الوصلة-إلى-الحبيب-في-وصف-الطيّبات-والط	الوصلة إلى الحبيب في وصف الطيّبات والطيب		
	https://www.libraryofarabicliterature.org/ar/books/كتاب-مضحك-ذوي-الذوق-والنظام-في-حلّ-شذرة	كتاب مضحك ذوي الذوق والنظام في حلّ شذرة من كلام اهل الريف العوامّ		
	https://www.libraryofarabicliterature.org/ar/books/الِشهاب-في-الأمثال-والمواعظ-والآداب	كتاب الشهاب		
	https://www.libraryofarabicliterature.org/ar/books/اختلاف-اصول-المذاهب	اختلاف اصول المذاهب		
	https://www.libraryofarabicliterature.org/ar/books/اخبار-ابي-تمّام	اخبار ابي تمّام		
	https://www.libraryofarabicliterature.org/ar/books/رحلات	رحلات		
	https://www.libraryofarabicliterature.org/ar/books/فضل-العرب	فضل العرب والتنبيه على علومها		
	https://www.libraryofarabicliterature.org/ar/books/مائة-ليلة-وليلة	مائة ليلة وليلة		
	https://www.libraryofarabicliterature.org/ar/books/حديث-عيسى-بن-هشام	حديث عيسى بن هشام		
