isbn	url	title	author	date	tag
9781479834129	https://www.libraryofarabicliterature.org/books/9781479834129/a-demon-spirit	A Demon Spirit	Abū Nuwās	Publication Date: November 19, 2024	Arabic Hunting Poems
9781479834259	https://www.libraryofarabicliterature.org/books/9781479834259/fate-the-hunter	Fate the Hunter	James E. Montgomery		Early Arabic Hunting Poems
9781479834167	https://www.libraryofarabicliterature.org/books/9781479834167/arabian-hero	Arabian Hero	by Shāyiʿ al-Amsaḥ		Oral Poetry and Narrative Lore from Northern Arabia
9781479834198	https://www.libraryofarabicliterature.org/books/9781479834198/the-requirements-of-the-sufi-path	The Requirements of the Sufi Path	Ibn Khaldūn		A Defense of the Mystical Tradition
9781479880249	https://www.libraryofarabicliterature.org/books/9781479880249/the-rules-of-logic	The Rules of Logic	Najm al-Dīn al-Kātibī		An Edition and Translation with Commentary
9781479827527	https://www.libraryofarabicliterature.org/books/9781479827527/najm-al-din-al-katibis-al-risalah-al-shamsiyyah	Najm al-Dīn al-Kātibī’s al-Risālah al-Shamsiyyah	by Tony Street		A Mystical Theology of the Names of God in the Qurʾan
9781479826155	https://www.libraryofarabicliterature.org/books/9781479826155/bedouin-poets-of-the-nafud-desert	Bedouin Poets of the Nafūd Desert	Khalaf Abū Zwayyid, ʿAdwān al-Hirbīd and ʿAjlān ibn Rmāl		A Defense of Philosophical Sufism
9781479827480	https://www.libraryofarabicliterature.org/books/9781479827480/the-doctors-dinner-party	The Doctors&#39; Dinner Party	Ibn Buṭlān		Arabic Hunting Poems
9781479826124	https://www.libraryofarabicliterature.org/books/9781479826124/the-divine-names	The Divine Names	ʿAfīf al-Dīn al-Tilimsānī		Poetry and Lore from the Emirati Oral Tradition
9781479826278	https://www.libraryofarabicliterature.org/books/9781479826278/the-essence-of-reality	The Essence of Reality	ʿAyn al-Quḍāt		Early Arabic Hunting Poems
9781479853182	https://www.libraryofarabicliterature.org/books/9781479853182/in-deadly-embrace	In Deadly Embrace	Ibn al-Muʿtazz		Fables of Virtue and Vice
9781479825806	https://www.libraryofarabicliterature.org/books/9781479825806/love-death-fame	Love, Death, Fame	al-Māyidī ibn Ẓāhir		A Defense of the Mystical Tradition
9781479825769	https://www.libraryofarabicliterature.org/books/9781479825769/the-book-of-monasteries	The Book of Monasteries	al-Shābushtī		A Description of Egypt and Journal of the Famine Years
9781479825257	https://www.libraryofarabicliterature.org/books/9781479825257/fate-the-hunter	Fate the Hunter	James E. Montgomery		Poetry and Lore from the Emirati Oral Tradition
9781479825776	https://www.libraryofarabicliterature.org/books/9781479825776/kalilah-and-dimnah	Kalīlah and Dimnah	Ibn al-Muqaffaʿ		A Defense of Philosophical Sufism
9781479818778	https://www.libraryofarabicliterature.org/books/9781479818778/the-doctors-dinner-party	The Doctors&#39; Dinner Party	Ibn Buṭlān		Fables of Virtue and Vice
9781479806331	https://www.libraryofarabicliterature.org/books/9781479806331/the-requirements-of-the-sufi-path	The Requirements of the Sufi Path	Ibn Khaldūn		Reflections on History, Sufism, Theology, and Literature—Volume One
9781479820078	https://www.libraryofarabicliterature.org/books/9781479820078/a-physician-on-the-nile	A Physician on the Nile	ʿAbd al-Laṭīf al-Baghdādī		Volume Two
9781479820016	https://www.libraryofarabicliterature.org/books/9781479820016/the-book-of-travels	The Book of Travels	Ḥannā Diyāb		Volume One
9781479806577	https://www.libraryofarabicliterature.org/books/9781479806577/love-death-fame	Love, Death, Fame	al-Māyidī ibn Ẓāhir		Two-Volume Set
9781479813247	https://www.libraryofarabicliterature.org/books/9781479813247/the-book-of-charlatans	The Book of Charlatans	Jamāl al-Dīn ʿAbd al-Raḥīm al-Jawbarī		A Description of Egypt and Journal of the Famine Years
9781479813216	https://www.libraryofarabicliterature.org/books/9781479813216/the-yoga-sutras-of-patanyjali	The Yoga Sutras of Patañjali	Abū Rayḥān al-Bīrūnī		An Intellectual Correspondence from the Tenth Century
9781479816590	https://www.libraryofarabicliterature.org/books/9781479816590/the-essence-of-reality	The Essence of Reality	ʿAyn al-Quḍāt		Poems on Bedouin Life and Love
9781479806539	https://www.libraryofarabicliterature.org/books/9781479806539/kalilah-and-dimnah	Kalīlah and Dimnah	Ibn al-Muqaffaʿ		An Account of the Sultanate and Its People
9781479810581	https://www.libraryofarabicliterature.org/books/9781479810581/the-discourses	The Discourses	al-Ḥasan al-Yūsī		Poetry from 18th-Century Najd
9781479810567	https://www.libraryofarabicliterature.org/books/9781479810567/impostures	Impostures	al-Ḥarīrī		A Syrian Cookbook
9781479806300	https://www.libraryofarabicliterature.org/books/9781479806300/the-book-of-travels	The Book of Travels	Ḥannā Diyāb		Reflections on History, Sufism, Theology, and Literature—Volume One
9781479892303	https://www.libraryofarabicliterature.org/books/9781479892303/the-book-of-travels	The Book of Travels	Ḥannā Diyāb		Sayings of the Prophet Muhammad
9781479810949	https://www.libraryofarabicliterature.org/books/9781479810949/the-book-of-travels	The Book of Travels	Ḥannā Diyāb		An Intellectual Correspondence from the Tenth Century, Volume One
9781479806249	https://www.libraryofarabicliterature.org/books/9781479806249/a-physician-on-the-nile	A Physician on the Nile	ʿAbd al-Laṭīf al-Baghdādī		An Intellectual Correspondence from the Tenth Century, Volume Two
9781479806355	https://www.libraryofarabicliterature.org/books/9781479806355/the-philosopher-responds	The Philosopher Responds	Abū Ḥayyān al-Tawḥīdī and Abū ʿAlī Miskawayh		A Scholarly Edition of &#39;Uthman ibn Ibrahim al-Nabulusi&#39;s Text
9781479897636	https://www.libraryofarabicliterature.org/books/9781479897636/the-book-of-charlatans	The Book of Charlatans	Jamāl al-Dīn ʿAbd al-Raḥīm al-Jawbarī		Deliverance Follows Adversity
9781479804139	https://www.libraryofarabicliterature.org/books/9781479804139/the-yoga-sutras-of-patanyjali	The Yoga Sutras of Patañjali	Abū Rayḥān al-Bīrūnī		Volume One
9781479804405	https://www.libraryofarabicliterature.org/books/9781479804405/arabian-romantic	Arabian Romantic	ʿAbdallāh ibn Sbayyil		Volume Two
9781479804443	https://www.libraryofarabicliterature.org/books/9781479804443/in-darfur	In Darfur	Muḥammad al-Tūnisī		Bureaucratic Rivalry in Medieval Egypt
9781479800896	https://www.libraryofarabicliterature.org/books/9781479800896/maqamat-abi-zayd-al-saruji	Maqāmāt Abī Zayd al-Sarūjī	al-Ḥarīrī		Poems on Bedouin Life and Love
9781479885169	https://www.libraryofarabicliterature.org/books/9781479885169/arabian-satire	Arabian Satire	Ḥmēdān al-Shwēʿir		A Literary-Historical Study
9781479800810	https://www.libraryofarabicliterature.org/books/9781479800810/scents-and-flavors	Scents and Flavors	Charles Perry		An Account of the Sultanate and Its People, Volume Two
9780814764572	https://www.libraryofarabicliterature.org/books/9780814764572/the-discourses	The Discourses	al-Ḥasan al-Yūsī		An Account of the Sultanate and Its People, Volume One
9781479864485	https://www.libraryofarabicliterature.org/books/9781479864485/light-in-the-heavens	Light in the Heavens	al-Qāḍī al-Quḍāʿī		Or, A Period of Time
9781479871483	https://www.libraryofarabicliterature.org/books/9781479871483/the-philosopher-responds	The Philosopher Responds	Abū Ḥayyān al-Tawḥīdī		Poetry from 18th-Century Najd
9781479834600	https://www.libraryofarabicliterature.org/books/9781479834600/the-philosopher-responds	The Philosopher Responds	Abū Ḥayyān al-Tawḥīdī		A Manual of Islamic Legal Theory
9781479899265	https://www.libraryofarabicliterature.org/books/9781479899265/the-excellence-of-the-arabs	The Excellence of the Arabs	Ibn Qutaybah		Women and the Court of Baghdad
9781479854714	https://www.libraryofarabicliterature.org/books/9781479854714/tajrid-sayf-al-himmah-li-stikhraj-ma-fi-dhimmat-al-dhimmah	Tajrid sayf al-himmah li-stikhraj ma fi dhimmat al-dhimmah	by Luke Yarbrough		A Syrian Cookbook
9781479855964	https://www.libraryofarabicliterature.org/books/9781479855964/stories-of-piety-and-prayer	Stories of Piety and Prayer	al-Muḥassin ibn ʿAlī al-Tanūkhī		Sayings of the Prophet Muhammad
9781479840212	https://www.libraryofarabicliterature.org/books/9781479840212/brains-confounded-by-the-ode-of-abu-shaduf-expounded	Brains Confounded by the Ode of Abū Shādūf Expounded	by Yūsuf al-Shirbīnī		Sayings, Sermons, and Teachings of &#39;Ali, with the One Hundred Proverbs attributed to al-Jahiz
9781479829668	https://www.libraryofarabicliterature.org/books/9781479829668/brains-confounded-by-the-ode-of-abu-shaduf-expounded-with-risible-rhymes	Brains Confounded by the Ode of Abū Shādūf Expounded, with Risible Rhymes	by Yūsuf al-Shirbīnī and Muḥammad ibn Maḥfūẓ al-Sanhūrī		Volume One
9781479824786	https://www.libraryofarabicliterature.org/books/9781479824786/the-sword-of-ambition	The Sword of Ambition	ʿUthmān ibn Ibrāhīm al-Nābulusī		Volume Two
9781479868025	https://www.libraryofarabicliterature.org/books/9781479868025/the-life-and-times-of-abu-tammam	The Life and Times of Abū Tammām                             by Abū Bakr al-Ṣūlī		Bureaucratic Rivalry in Medieval Egypt
9781479880904	https://www.libraryofarabicliterature.org/books/9781479880904/war-songs	War Songs	ʿAntarah ibn Shaddād		Volumes One and Two
9781479858798	https://www.libraryofarabicliterature.org/books/9781479858798/war-songs	War Songs	ʿAntarah ibn Shaddād		Volumes Three and Four
9781479837663	https://www.libraryofarabicliterature.org/books/9781479837663/arabian-romantic	Arabian Romantic	ʿAbdallāh ibn Sbayyil		Volumes One and Two
9781479861880	https://www.libraryofarabicliterature.org/books/9781479861880/diwan-antarah-ibn-shaddad	Diwan &#39;Antarah ibn Shaddad	James E. Montgomery		A Translation of Al-Shafi&#39;i&#39;s Risalah
9781479867844	https://www.libraryofarabicliterature.org/books/9781479867844/in-darfur	In Darfur	Muḥammad al-Tūnisī		An Early Biography of Muḥammad
9781479876389	https://www.libraryofarabicliterature.org/books/9781479876389/in-darfur	In Darfur	Muḥammad al-Tūnisī		or, A Period of Time, Volume Two
9781479840915	https://www.libraryofarabicliterature.org/books/9781479840915/what-isa-ibn-hisham-told-us	What ʿĪsā ibn Hishām Told Us	Muḥammad al-Muwayliḥī		or, A Period of Time, Volume One
9781479878062	https://www.libraryofarabicliterature.org/books/9781479878062/arabian-satire	Arabian Satire	Ḥmēdān al-Shwēʿir		Women and the Court of Baghdad
9781479808076	https://www.libraryofarabicliterature.org/books/9781479808076/disagreements-of-the-jurists	Disagreements of the Jurists	al-Qāḍī al-Nuʿmān		A Manual of Islamic Legal Theory
9781479873234	https://www.libraryofarabicliterature.org/books/9781479873234/a-hundred-and-one-nights	A Hundred and One Nights	Bruce Fudge		Volume Two
9781479866793	https://www.libraryofarabicliterature.org/books/9781479866793/consorts-of-the-caliphs	Consorts of the Caliphs	Ibn al-Sāʿī		Accounts of China and India and Mission to the Volga
9781479856282	https://www.libraryofarabicliterature.org/books/9781479856282/scents-and-flavors	Scents and Flavors	Charles Perry		4-volume set
9781479809578	https://www.libraryofarabicliterature.org/books/9781479809578/the-excellence-of-the-arabs	The Excellence of the Arabs	Ibn Qutaybah		Volume Three
9781479899890	https://www.libraryofarabicliterature.org/books/9781479899890/mission-to-the-volga	Mission to the Volga	Aḥmad ibn Faḍlān		Volume Four
9781479830596	https://www.libraryofarabicliterature.org/books/9781479830596/accounts-of-china-and-india	Accounts of China and India	Abū Zayd al-Sīrāfī		An Early Biography of Muḥammad
9781479871469	https://www.libraryofarabicliterature.org/books/9781479871469/light-in-the-heavens	Light in the Heavens	al-Qāḍī al-Quḍāʿī		Sayings, Sermons, and Teachings of &#39;Ali, with the One Hundred Proverbs attributed to al-Jahiz
9781479805303	https://www.libraryofarabicliterature.org/books/9781479805303/the-life-of-ibn-hanbal	The Life of Ibn Ḥanbal	Ibn al-Jawzī		Volume Two: Hypocrites, Heretics, and Other Sinners
9781479896530	https://www.libraryofarabicliterature.org/books/9781479896530/a-treasury-of-virtues	A Treasury of Virtues	al-Qāḍī al-Quḍāʿī		Volume One
9781479877928	https://www.libraryofarabicliterature.org/books/9781479877928/risible-rhymes	Risible Rhymes	Muḥammad ibn Maḥfūẓ al-Sanhūrī		Volume One: A Vision of Heaven and Hell
9780814745199	https://www.libraryofarabicliterature.org/books/9780814745199/a-hundred-and-one-nights	A Hundred and One Nights	Edited and translated by Bruce Fudge		Volume Two
9781479882342	https://www.libraryofarabicliterature.org/books/9781479882342/brains-confounded-by-the-ode-of-abu-shaduf-expounded	Brains Confounded by the Ode of Abū Shādūf Expounded	Yūsuf al-Shirbīnī		Volume One
9781479838905	https://www.libraryofarabicliterature.org/books/9781479838905/brains-confounded-by-the-ode-of-abu-shaduf-expounded	Brains Confounded by the Ode of Abū Shādūf Expounded	Yūsuf al-Shirbīnī		A Library of Arabic Literature Anthology
9781479889457	https://www.libraryofarabicliterature.org/books/9781479889457/the-sword-of-ambition	The Sword of Ambition	ʿUthmān ibn Ibrāhīm al-Nābulusī		
9781479829248	https://www.libraryofarabicliterature.org/books/9781479829248/the-principles-of-sufism	The Principles of Sufism	ʿĀʾishah al-Bāʿūniyyah		
9781479834945	https://www.libraryofarabicliterature.org/books/9781479834945/the-epistle-of-forgiveness	The Epistle of Forgiveness	Abū l-ʿAlāʾ al-Maʿarrī		
9780814760406	https://www.libraryofarabicliterature.org/books/9780814760406/the-life-and-times-of-abu-tammam	The Life and Times of Abū Tammām	by Abū Bakr al-Ṣūlī		
9781479813292	https://www.libraryofarabicliterature.org/books/9781479813292/leg-over-leg	Leg over Leg	Aḥmad Fāris al-Shidyāq		
9781479800728	https://www.libraryofarabicliterature.org/books/9781479800728/leg-over-leg	Leg over Leg	Aḥmad Fāris al-Shidyāq		
9781479855445	https://www.libraryofarabicliterature.org/books/9781479855445/the-epistle-on-legal-theory	The Epistle on Legal Theory	Muhammad ibn Idris al-Shafi&#39;i		
9781479816828	https://www.libraryofarabicliterature.org/books/9781479816828/the-expeditions	The Expeditions	Maʿmar ibn Rāshid		
9781479862252	https://www.libraryofarabicliterature.org/books/9781479862252/what-isa-ibn-hisham-told-us	What ʿĪsā ibn Hishām Told Us	Muḥammad al-Muwayliḥī		
