title	author	url	download_urls
جامع الأحاديث القدسية	 المؤلف: عصام الصبابطي	https://waqfeya.net/book.php?bid=12929	https://archive.org/details/FPFP72688/1-2gaq.pdf https://archive.org/details/FPFP72688/3-4gaq.pdf https://archive.org/details/FPFP72688/5-6gaq.pdf https://archive.org/details/FPFP72688/0gaq.pdf https://archive.org/compress/FPFP72688/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FPFP72688.zip https://archive.org/download/FP144652/144652.pdf http://shamela.ws/index.php/book/17745 https://app.alreq.com/ar/authoredbooks/authoredbook/08d807a1-84c1-4d94-8b0d-d22b3003219a 
المعين على تفهم الأربعين (ت: العجمي)	 المؤلف: ابن الملقن؛ عمر بن علي بن أحمد الأنصاري الشافعي، سراج الدين، أبو حفص ابن النحوي، المعروف بابن الملقن	https://waqfeya.net/book.php?bid=10615	
المنار المنيف في الصحيح والضعيف (ت: المعلمي)	 المؤلف: 	https://waqfeya.net/book.php?bid=1555	https://archive.org/download/FP78805/78805.pdf https://archive.org/download/48110/48110.pdf https://archive.org/download/18927FP/ugahms.pdf https://archive.org/download/FP34580/34580.pdf https://archive.org/download/FP15252/15252.pdf https://archive.org/download/FP53039/53039.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08d8348f-1596-4dd9-896d-76c47cef668c https://archive.org/download/FP15279/15279.pdf https://archive.org/download/FP15279/15279p.pdf https://archive.org/download/FP51613/emra1.pdf https://archive.org/download/FP51613/emra2.pdf https://archive.org/download/FP51613/emra3.pdf https://archive.org/download/FP51613/emra4.pdf https://archive.org/download/FP51613/emra0.pdf https://archive.org/compress/FP51613/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FP51613.zip https://app.alreq.com/ar/authoredbooks/authoredbook/08d7ba4c-0b92-eeae-7389-41bcfb2c25f4 https://archive.org/download/FP70165/eiah1.pdf https://archive.org/download/FP70165/eiah2.pdf https://archive.org/download/FP70165/eiah3.pdf https://archive.org/download/FP70165/eiah4.pdf https://archive.org/download/FP70165/eiah5.pdf https://archive.org/download/FP70165/eiah6.pdf https://archive.org/download/FP70165/eiah7.pdf https://archive.org/download/FP70165/eiah0.pdf https://archive.org/compress/FP70165/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FP70165.zip https://app.alreq.com/ar/authoredbooks/authoredbook/08d8348d-9f05-4721-8d8d-8ad278a48b7a https://archive.org/download/FP15499/15499.pdf hhttps://archive.org/download/FP4241/4241.pdf http://shamela.ws/books/260/26033.rar https://app.alreq.com/ar/authoredbooks/authoredbook/0cbe40fc-f60d-4bd6-666b-08d7b261530e 
خلاصة التأصيل لعلم الجرح والتعديل	ابن قيم الجوزية؛ محمد بن أبي بكر بن أيوب بن سعد الزرعي الدمشقي، أبو عبد الله، شمس الدين	https://waqfeya.net/book.php?bid=1029	
العجالة في الأحاديث المسلسلة	 المؤلف: الشريف حاتم بن عارف العوني	https://waqfeya.net/book.php?bid=1293	
المرسل الخفي وعلاقته بالتدليس دراسة نظرية وتطبيقية على...	 المؤلف: الفاداني المكي	https://waqfeya.net/book.php?bid=1090	
الوسيط في علوم مصطلح الحديث	 المؤلف: الشريف حاتم بن عارف العوني	https://waqfeya.net/book.php?bid=574	
شرح علل ابن أبي حاتم	 المؤلف: أبو شهبة، محمد محمد	https://waqfeya.net/book.php?bid=1040	
الرفع والتكميل في الجرح والتعديل	 المؤلف: ابن قدامة المقدسي؛ محمد بن أحمد بن عبد الهادي بن عبد الحميد بن عبد الهادي، شمس الدين، أبو عبد الله، ابن قدامة المقدسي الجماعيلي الأصل، ثم الدمشقي الصالحي	https://waqfeya.net/book.php?bid=608	
العلل ومعرفة الرجال	 المؤلف: محمد عبد الحي؛ محمد عبد الحي بن محمد عبد الحليم الأنصاري اللكنوي الهندي، أبو الحسنات	https://waqfeya.net/book.php?bid=663	
علل ابن أبي حاتم	 المؤلف: الإمام ابن حنبل؛ أحمد بن محمد بن حنبل، أبو عبد الله، الشيباني الوائلي ( أحمد بن حنبل )	https://waqfeya.net/book.php?bid=660	
مكانة الصحيحين	 المؤلف: ابن أبي حاتم؛ عبد الرحمن بن محمد أبي حاتم ابن إدريس بن المنذر التميمي الحنظلي الرازي، أبو محمد	https://waqfeya.net/book.php?bid=1091	
صلة الخلف بموصول السلف	 المؤلف: خليل إبراهيم ملا خاطر	https://waqfeya.net/book.php?bid=1588	
الكنى والأسماء	 المؤلف: الدولابي؛ محمد بن أحمد بن حماد بن سعد بن مسلم، أبو بشر الأنصاري، بالولاء، الرازي الدولابي الوراق	https://waqfeya.net/book.php?bid=1188	https://archive.org/download/FP42064/01_42064.pdf https://archive.org/download/FP42064/02_42065.pdf https://archive.org/download/FP42064/00_42064.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08dc8b09-5b1f-43f3-863a-8f884d669d17 https://archive.org/download/FP35441/35441.pdf https://archive.org/download/FP35441/35441p.pdf https://archive.org/download/FP15436/01_15436.pdf https://archive.org/download/FP15436/02_15436.pdf https://archive.org/download/FP15436/00_15436.pdf http://www.archive.org/download/waq88887/88887.pdf 
الدر النقي من كلام الإمام البيهقي (في الرجال)	 المؤلف: حسين بن قاسم تاج الكلداري	https://waqfeya.net/book.php?bid=1192	
التقييد لمعرفة الرواة والسنن والمسانيد (ط. العثمانية)	 المؤلف: ابن نقطة؛ محمد بن عبد الغني بن أبي بكر بن شجاع، أبو بكر، معين الدين، ابن نقطة الحنبلي البغدادي	https://waqfeya.net/book.php?bid=612	
سؤالات عثمان بن طالوت البصري ليحي بن معين وهو تاريخ هشام بن...	 المؤلف: عثمان بن طالوت البصري - يحي بن معين أبو زكريا	https://waqfeya.net/book.php?bid=3574	
التقريب والإرشاد في أصول الفقه (ط. الكويت)	 المؤلف: القاضي الباقلاني؛ محمد بن الطيب بن محمد بن جعفر، أبو بكر	https://waqfeya.net/book.php?bid=12926	https://archive.org/details/tairguakFP/tairguak.pdf https://archive.org/details/tairguakFP/tairguakp.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08dc7e7d-8d12-405c-87fc-dffeba46b895 https://archive.org/download/FP37405/01_37405.pdf https://archive.org/download/FP37405/02_37406.pdf https://archive.org/download/FP37405/03_37407.pdf https://archive.org/download/FP37405/00_37405.pdf https://archive.org/compress/FP37405/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FP37405.zip https://app.alreq.com/ar/authoredbooks/authoredbook/08dafa07-eaf9-4043-8ae3-001d47c42a46 
التقريب والإرشاد الصغير	 المؤلف: القاضي الباقلاني؛ محمد بن الطيب بن محمد بن جعفر، أبو بكر	https://waqfeya.net/book.php?bid=12925	
التقريب والإرشاد في أصول الفقه (ط. الكويت)	 المؤلف: القاضي الباقلاني؛ محمد بن الطيب بن محمد بن جعفر، أبو بكر	https://waqfeya.net/book.php?bid=12926	https://archive.org/details/tairguakFP/tairguak.pdf https://archive.org/details/tairguakFP/tairguakp.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08dc7e7d-8d12-405c-87fc-dffeba46b895 https://archive.org/download/FP37405/01_37405.pdf https://archive.org/download/FP37405/02_37406.pdf https://archive.org/download/FP37405/03_37407.pdf https://archive.org/download/FP37405/00_37405.pdf https://archive.org/compress/FP37405/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FP37405.zip https://app.alreq.com/ar/authoredbooks/authoredbook/08dafa07-eaf9-4043-8ae3-001d47c42a46 
التقريب والإرشاد الصغير	 المؤلف: القاضي الباقلاني؛ محمد بن الطيب بن محمد بن جعفر، أبو بكر	https://waqfeya.net/book.php?bid=12925	
العلامة المجاهد الشيخ محمد الحامد	 المؤلف: عبد الحميد محمود طهماز	https://waqfeya.net/book.php?bid=8582	https://archive.org/download/WAQ57698/57698.pdf http://www.archive.org/download/waqfeyahera/hera.pdf http://dc180.4shared.com/download/201961009/354bf88b/hera.pdf http://www.archive.org/download/waqhera/hera.pdf http://dc150.4shared.com/download/201962143/a2851148/hera.pdf http://www.archive.org/download/affab/affab1.pdf http://www.archive.org/download/affab/affab2.pdf http://www.archive.org/download/affab/affab0.pdf https://archive.org/download/FP16335/16335.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/b871e176-5a43-41e8-3e76-08d79e7d2715 https://archive.org/download/WAQ63463/nalam.pdf https://archive.org/download/waq57660/57660.pdf https://archive.org/download/FPmsga/msga1.pdf https://archive.org/download/FPmsga/msga2.pdf https://archive.org/download/FPmsga/msga3.pdf https://archive.org/download/FPmsga/msga1p.pdf https://archive.org/download/FPmsga/msga0.pdf http://d.shamela.ws/books/131/13178.rar https://archive.org/download/mnemadFP/mnemad.pdf https://archive.org/download/WAQ57702/57702.pdf https://archive.org/download/WAQ57661/57661.pdf https://archive.org/download/FP0110/0110.pdf https://archive.org/stream/FP0110/0110 https://archive.org/download/FP0173/0173.pdf https://archive.org/stream/FP0173/0173 https://archive.org/download/WAQ57675s/57675s.pdf https://archive.org/download/mamokFP/mamok.pdf 
حياة الرافعي	 المؤلف: محمد سعيد العريان	https://waqfeya.net/book.php?bid=43	
أنوار الفجر في فضائل أهل بدر	 المؤلف: سيد حسين العفاني	https://waqfeya.net/book.php?bid=667	
توالي التأسيس لمعالي محمد بن إدريس	 المؤلف: 	https://waqfeya.net/book.php?bid=603	
نظرات في كتاب الأعلام	ابن حجر العسقلاني؛ أحمد بن علي بن محمد الكناني العسقلاني، أبو الفضل، شهاب الدين، ابن حجر	https://waqfeya.net/book.php?bid=606	
الحافظ الذهبي مؤرخ الإسلام ناقد المحدثين	 المؤلف: أحمد العلاونة	https://waqfeya.net/book.php?bid=354	
معجم الصحابة (ابن قانع)	 المؤلف: عبد الستار الشيخ	https://waqfeya.net/book.php?bid=773	
مناقب الإمام أحمد بن حنبل (ط. ابن خلدون)	 المؤلف: عبد الله بن قانع أبو الحسين	https://waqfeya.net/book.php?bid=991	
معاوية بن أبي سفيان رضي الله عنه، صحابي كبير وملك مجاهد	 المؤلف: 	https://waqfeya.net/book.php?bid=367	
الإمام مالك بن أنس إمام دار الهجرة	ابن الجوزي؛ عبد الرحمن بن علي بن محمد الجوزي القرشي البغدادي، أبو الفرج	https://waqfeya.net/book.php?bid=373	
رواد علم الجغرافيا في الحضارة العربية والإسلامية	 المؤلف: منير محمد الغضبان	https://waqfeya.net/book.php?bid=159	
حول حياة شيخ الإسلام ابن تيمية	 المؤلف: عبد الغني الدقر	https://waqfeya.net/book.php?bid=219	
الإمام النووي شيخ الإسلام والمسلمين وعمدة الفقهاء والمحدثين	 المؤلف: علي بن عبد الله الدفاع	https://waqfeya.net/book.php?bid=379	
مناقب أمير المؤمنين عمر بن الخطاب (ط. ابن خلدون)	 المؤلف: محمد سعيد رسلان	https://waqfeya.net/book.php?bid=992	
العلامة المجاهد الشيخ محمد الحامد	 المؤلف: عبد الحميد محمود طهماز	https://waqfeya.net/book.php?bid=8582	https://archive.org/download/WAQ57698/57698.pdf http://www.archive.org/download/waqfeyahera/hera.pdf http://dc180.4shared.com/download/201961009/354bf88b/hera.pdf http://www.archive.org/download/waqhera/hera.pdf http://dc150.4shared.com/download/201962143/a2851148/hera.pdf http://www.archive.org/download/affab/affab1.pdf http://www.archive.org/download/affab/affab2.pdf http://www.archive.org/download/affab/affab0.pdf https://archive.org/download/FP16335/16335.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/b871e176-5a43-41e8-3e76-08d79e7d2715 https://archive.org/download/WAQ63463/nalam.pdf https://archive.org/download/waq57660/57660.pdf https://archive.org/download/FPmsga/msga1.pdf https://archive.org/download/FPmsga/msga2.pdf https://archive.org/download/FPmsga/msga3.pdf https://archive.org/download/FPmsga/msga1p.pdf https://archive.org/download/FPmsga/msga0.pdf http://d.shamela.ws/books/131/13178.rar https://archive.org/download/mnemadFP/mnemad.pdf https://archive.org/download/WAQ57702/57702.pdf https://archive.org/download/WAQ57661/57661.pdf https://archive.org/download/FP0110/0110.pdf https://archive.org/stream/FP0110/0110 https://archive.org/download/FP0173/0173.pdf https://archive.org/stream/FP0173/0173 https://archive.org/download/WAQ57675s/57675s.pdf https://archive.org/download/mamokFP/mamok.pdf 
حياة الرافعي	 المؤلف: محمد سعيد العريان	https://waqfeya.net/book.php?bid=43	
أنوار الفجر في فضائل أهل بدر	 المؤلف: سيد حسين العفاني	https://waqfeya.net/book.php?bid=667	
